"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","PRCP","SNWD","TAVG","TMAX","TMIN"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-01","0.00",,"25","38","15"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-02","0.00",,"18","23","15"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-03","0.11",,"12","18","3"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-04","0.00",,"0","8","-5"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-05","0.00",,"8","19","0"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-06","0.00",,"17","27","8"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-07","0.00",,"18","28","11"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-08","0.00",,"16","27","10"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-09","0.00",,"15","27","1"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-10","0.00",,"20","29","9"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-11","0.00",,"24","33","12"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-12","0.00",,"17","29","12"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-13","0.00",,"11","19","2"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-14","0.00",,"8","16","2"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-15","0.00",,"7","17","2"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-16","0.00",,"9","27","-3"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-17","0.00",,"7","21","-2"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-18","0.00",,"14","26","0"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-19","0.00",,"18","33","6"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-20","0.00",,"17","36","5"
"CHM00054405","HUAILAI, CH","40.417","115.5","538.0","1970-01-21","0.00",,"16","29","6"
