,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,PRCP,SNWD,TMAX,TMIN
5479,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-01,14.7,102.0,0.0,-3.9
5480,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-02,0.0,152.0,0.6,-3.9
5481,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-03,0.0,76.0,4.4,-2.2
5482,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-04,21.6,51.0,7.8,-3.9
5483,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-05,1.8,0.0,8.9,1.1
5484,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-06,0.0,0.0,1.1,-2.8
5485,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-07,0.0,0.0,-2.2,-6.1
5486,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-08,0.0,0.0,-2.2,-7.2
5487,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-09,0.0,0.0,-2.2,-6.7
5488,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-10,0.0,0.0,2.8,-3.3
5489,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-11,0.0,0.0,6.7,-1.1
5490,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-12,0.0,0.0,5.0,-6.1
5491,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-13,0.5,0.0,-3.9,-8.3
5492,USW00094789,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.7639,2.7,1971-01-14,6.6,51.0,3.3,-6.1
